,Date,Time,Venue,Season,Home Team,Home Score,-,Away Score,Away Team
0,12.10.14,11:45,Trinity School Sports Centre,2014/15,Trojans 1,22.0,-,16.0,Kingfisher 1
1,12.10.14,13:00,Whitgift School,2014/15,Bec 1,26.0,-,16.0,Norwich Knights 1
2,12.10.14,14:30,Bromsgrove School,2014/15,Birmingham City 1,5.0,-,21.0,Nomads 1
3,19.10.14,11:30,Epsom College,2014/15,Nomads 1,14.0,-,21.0,KV 1
4,19.10.14,11:45,Trinity School Sports Centre,2014/15,Trojans 1,27.0,-,10.0,Tornadoes 1
5,19.10.14,13:00,UEA Sportspark,2014/15,Norwich Knights 1,21.0,-,10.0,Kingfisher 1
6,19.10.14,13:00,Whitgift School,2014/15,Bec 1,33.0,-,10.0,Birmingham City 1
7,16.11.14,13:30,Aylesford School Sports College,2014/15,Tornadoes 1,11.0,-,24.0,Nomads 1
8,16.11.14,16:30,Bromsgrove School,2014/15,Birmingham City 1,11.0,-,26.0,Norwich Knights 1
9,23.11.14,11:00,Whitgift School,2014/15,Bec 1,24.0,-,21.0,Trojans 1
10,23.11.14,13:00,UEA Sportspark,2014/15,Norwich Knights 1,24.0,-,19.0,Tornadoes 1
11,23.11.14,14:30,Bromsgrove School,2014/15,Birmingham City 1,18.0,-,21.0,Kingfisher 1
12,29.11.14,19:00,Aylesford School Sports College,2014/15,KV 1,24.0,-,11.0,Tornadoes 1
13,30.11.14,12:30,Epsom College,2014/15,Nomads 1,18.0,-,8.0,Birmingham City 1
14,30.11.14,13:00,UEA Sportspark,2014/15,Norwich Knights 1,16.0,-,25.0,Bec 1
15,30.11.14,14:30,Medway Park,2014/15,Kingfisher 1,23.0,-,22.0,Trojans 1
16,07.12.14,14:30,Bromsgrove School,2014/15,Birmingham City 1,11.0,-,31.0,Trojans 1
17,14.12.14,11:45,Trinity School Sports Centre,2014/15,Trojans 1,18.0,-,14.0,Nomads 1
18,14.12.14,14:30,Aylesford School Sports College,2014/15,Tornadoes 1,20.0,-,15.0,Birmingham City 1
19,14.12.14,16:30,Aylesford School Sports College,2014/15,KV 1,22.0,-,12.0,Norwich Knights 1
20,14.12.14,18:30,Aylesford School Sports College,2014/15,Kingfisher 1,18.0,-,28.0,Bec 1
21,21.12.14,11:30,Epsom College,2014/15,Nomads 1,15.0,-,20.0,Bec 1
22,04.01.15,11:45,Trinity School Sports Centre,2014/15,Trojans 1,26.0,-,25.0,KV 1
23,11.01.15,11:30,Epsom College,2014/15,Nomads 1,19.0,-,21.0,Kingfisher 1
24,11.01.15,14:00,UEA Sportspark,2014/15,Norwich Knights 1,14.0,-,18.0,Trojans 1
25,11.01.15,15:00,Aylesford School Sports College,2014/15,KV 1,24.0,-,10.0,Birmingham City 1
26,11.01.15,16:45,Aylesford School Sports College,2014/15,Tornadoes 1,19.0,-,30.0,Bec 1
27,14.01.15,20:45,Whitgift School,2014/15,Bec 1,19.0,-,11.0,Kingfisher 1
28,17.01.15,19:00,Aylesford School Sports College,2014/15,Tornadoes 1,22.0,-,27.0,Kingfisher 1
29,18.01.15,13:00,UEA Sportspark,2014/15,Norwich Knights 1,14.0,-,13.0,Nomads 1
30,18.01.15,14:30,Medway Park,2014/15,KV 1,15.0,-,24.0,Bec 1
31,24.01.15,20:30,Epsom College,2014/15,Nomads 1,16.0,-,27.0,Trojans 1
32,01.02.15,14:30,Daynes Sports Centre,2014/15,Norwich Knights 1,14.0,-,20.0,KV 1
33,01.02.15,14:45,Bromsgrove School,2014/15,Birmingham City 1,16.0,-,26.0,Tornadoes 1
34,07.02.15,19:00,Aylesford School Sports College,2014/15,Kingfisher 1,16.0,-,16.0,KV 1
35,14.02.15,19:00,Aylesford School Sports College,2014/15,KV 1,28.0,-,12.0,Kingfisher 1
36,15.02.15,10:15,Epsom College,2014/15,Nomads 1,16.0,-,18.0,Tornadoes 1
37,15.02.15,11:45,Trinity School Sports Centre,2014/15,Trojans 1,16.0,-,12.0,Bec 1
38,15.02.15,13:00,UEA Sportspark,2014/15,Norwich Knights 1,10.0,-,0.0,Birmingham City 1
39,28.02.15,19:00,Aylesford School Sports College,2014/15,Kingfisher 1,25.0,-,26.0,Tornadoes 1
